# Mode B discovery set: frozen arXiv sample (UNLABELED).
# regenerate: python src/sample_arxiv.py --from 20260301 --to 20260331 --per-cat 35
# window 20260301..20260331; cats: stat.ME,eess.SY,cs.LG,q-bio.QM,q-fin.ST,physics.soc-ph,cond-mat.stat-mech,astro-ph.IM,q-bio.NC,math.OC
id,url,field,license,note
mb-astro-ph-IM-006,https://arxiv.org/abs/2603.01618,astro-ph.IM,arXiv,
mb-astro-ph-IM-007,https://arxiv.org/abs/2603.01662,astro-ph.IM,arXiv,
mb-astro-ph-IM-008,https://arxiv.org/abs/2603.01735,astro-ph.IM,arXiv,
mb-astro-ph-IM-009,https://arxiv.org/abs/2603.01770,astro-ph.IM,arXiv,
mb-astro-ph-IM-010,https://arxiv.org/abs/2603.02016,astro-ph.IM,arXiv,
mb-astro-ph-IM-011,https://arxiv.org/abs/2603.02094,astro-ph.IM,arXiv,
mb-astro-ph-IM-012,https://arxiv.org/abs/2603.02198,astro-ph.IM,arXiv,
mb-astro-ph-IM-013,https://arxiv.org/abs/2603.02330,astro-ph.IM,arXiv,
mb-astro-ph-IM-014,https://arxiv.org/abs/2603.02545,astro-ph.IM,arXiv,
mb-astro-ph-IM-015,https://arxiv.org/abs/2603.03384,astro-ph.IM,arXiv,
mb-astro-ph-IM-016,https://arxiv.org/abs/2603.02732,astro-ph.IM,arXiv,
mb-astro-ph-IM-017,https://arxiv.org/abs/2603.02817,astro-ph.IM,arXiv,
mb-astro-ph-IM-018,https://arxiv.org/abs/2603.02833,astro-ph.IM,arXiv,
mb-astro-ph-IM-019,https://arxiv.org/abs/2603.02850,astro-ph.IM,arXiv,
mb-astro-ph-IM-020,https://arxiv.org/abs/2603.02931,astro-ph.IM,arXiv,
mb-astro-ph-IM-021,https://arxiv.org/abs/2603.02940,astro-ph.IM,arXiv,
mb-astro-ph-IM-022,https://arxiv.org/abs/2603.03036,astro-ph.IM,arXiv,
mb-astro-ph-IM-023,https://arxiv.org/abs/2603.03077,astro-ph.IM,arXiv,
mb-astro-ph-IM-024,https://arxiv.org/abs/2603.04462,astro-ph.IM,arXiv,
mb-astro-ph-IM-025,https://arxiv.org/abs/2603.03168,astro-ph.IM,arXiv,
mb-astro-ph-IM-026,https://arxiv.org/abs/2603.03266,astro-ph.IM,arXiv,
